asin,title,keyword_ids,english_keywords,relevance_pct,n,matches
B09JMYYYS4,"Gastronoma 18150003 Elektrische melkopschuimer, 300 ml, hoge capaciteit van roestvrij staal, 3-in-1 melkschuim voor warm en koud schuim, warme chocolade, draadloze melkreservoir",53;79,milk frother|dishwasher,100;50,2,"milk frother(id53,100%,title) | dishwasher(id79,50%,body)"
B09JMZHKNN,Gastronoma 18310014 Appareil à crêpes rétro avec distributeur de pâte et spatule antiadhésive Noir Ø 30 cm 1000 W,,,,0,
B09KJFZXTP,Telestar Dira S 20C,129;102,internet radio|portable radio,100;80,2,"internet radio(id129,100%,body) | portable radio(id102,80%,body)"
B09KRSDT4X,Lenco LS-55 Platenspeler – vinylplaat met geïntegreerde luidsprekers – bluetooth-ontvangst – MP3-codering direct op opslagmedia – 2 x 5 watt RMS – USB-ingang – AUX – zwart,254;122,usb stick|record player,100;80,2,"usb stick(id254,100%,body) | record player(id122,80%,title)"
B09L4SWZQT,Lenco CD-012 - Draagbare CD-speler Walkman - Diskman - CD-Walkman - Met hoofdtelefoon en Micro USB oplaadkabel - interne oplaadfunctie - transparant CD-012TR,104,portable cd player,100,1,"portable cd player(id104,100%,title)"
B09L54B7V2,Lenco CD-202TR,104;103;218,portable cd player|mp3 player|rechargeable batteries,100;67;56,3,"portable cd player(id104,100%,body) | mp3 player(id103,67%,body) | rechargeable batteries(id218,56%,body)"
B09L8DK5N1,"Lenco Lecteur CD SCD-24 pour enfants - Radio CD - Système stéréo - Boombox - Tuner FM - Titre Mémoire - Puissance RMS 2 x 1,5 W - Alimentation secteur et batterie - Blanc",119,kids cd player,100,1,"kids cd player(id119,100%,title)"
B09LMPC4MV,Lenco DVD-120BK - DVD-speler met HDMI en Afstandsbediening,363,hdmi cable,100,1,"hdmi cable(id363,100%,body)"
B09LZ33SR5,"Lenco SCD-620 CD-speler voor kinderen, CD-radio met microfoon, karaoke-speler, titelgeheugen, FM-ontvanger, 2 x 1 watt RMS, AUX-IN, roze",126;104;119;102,cd player|portable cd player|kids cd player|portable radio,100;70;70;50,4,"cd player(id126,100%,title) | portable cd player(id104,70%,body) | kids cd player(id119,70%,body) | portable radio(id102,50%,body)"
B09LZ3CR2J,Lenco SCD-620BU - Radio portátil/Reproductor de CD con micrófono - Azul,104;102,portable cd player|portable radio,100;62,2,"portable cd player(id104,100%,title) | portable radio(id102,62%,title)"
B09MDBZY31,"Lenco CD-400 - Draagbare CD-speler - Discman - DAB+ radio - CD, CD-R/RW, MP3-speler - Zendergeheugen - Audioboekfunctie - Antishock - Geïntegreerde batterij 1000mAh - Grijs",104;103;128;276;102,portable cd player|mp3 player|dab+ radio|cd-r|portable radio,100;71;71;71;57,5,"portable cd player(id104,100%,title) | mp3 player(id103,71%,title) | dab+ radio(id128,71%,title) | cd-r(id276,71%,title) | portable radio(id102,57%,title)"
B09MDF8RTS,Lenco L-3809ME - Plattenspieler - Schallplattenspieler,122,record player,100,1,"record player(id122,100%,body)"
B09NL2VTM9,"Lenco ODR-150 Dab+ Worksite Radio - Bluetooth 5.0, receptor FM IP54, resistente al agua - 15 W -Batería RMS - con cargador - AUX-in - USB - 5000 mAh - Gris",128;210;107;111;116;208;220;115;124,dab+ radio|laptop power bank|jobsite radio|portable dab+ radio|construction radio|wireless power bank|battery charger|waterproof radio|receiver,100;100;88;75;75;75;75;50;50,9,"dab+ radio(id128,100%,title) | laptop power bank(id210,100%,body) | jobsite radio(id107,88%,body) | portable dab+ radio(id111,75%,body) | construction radio(id116,75%,body) | wireless power bank(id208,75%,body) | battery charger(id220,75%,body) | waterproof radio(id115,50%,body) | receiver(id124,50%,title)"
B09NQD4XKF,Lenco BTC-070 Système karaoké – Haut-Parleur Bluetooth avec Microphone – Boîte à Musique – Effets de lumière – 10 Heures d'autonomie – USB – Micro SD – AUX in – Noir,429;314;250;270,softbox|usb microphone|card reader|micro sd card,100;67;58;58,4,"softbox(id429,100%,title) | usb microphone(id314,67%,title) | card reader(id250,58%,body) | micro sd card(id270,58%,body)"
B09NWB8CYS,Lenco Giradischi LS-101 - Giradischi Bluetooth - Altoparlante esterno con 2 x 10 Watt RMS - 3 velocità - Trasmissione a cinghia - Nero,1;136,bluetooth speaker|record player with speakers,100;75,2,"bluetooth speaker(id1,100%,title) | record player with speakers(id136,75%,body)"
B09NYB2VT2,"Lenco LS-410 Giradischi, Giradischi Vinili, Bluetooth - altoparlante integrato 40 Watt RMS - trasmissione a cinghia - preamplificatore - RCA Out e AUX-in - legno LS-410WA marrone",16,wooden bluetooth speaker,100,1,"wooden bluetooth speaker(id16,100%,title)"
B09NYJF1G9,Lenco LS-430BK - Plattenspieler mit Lautsprecher - Schallplattenspieler,136;1,record player with speakers|bluetooth speaker,100;67,2,"record player with speakers(id136,100%,body) | bluetooth speaker(id1,67%,body)"
B09NYJMZZL,Lenco LS-430BN - Plattenspieler mit Lautsprecher - Schallplattenspieler,136;1,record player with speakers|bluetooth speaker,100;67,2,"record player with speakers(id136,100%,body) | bluetooth speaker(id1,67%,body)"
B09NYLNMSS,"Lenco LS-440 - Giradischi, Bluetooth, Giradischi Vinile - Altoparlante integrato 40 Watt RMS - Trasmissione a cinghia - Pitch Control - Preamplificatore - RCA Out e AUX-In - Grigio",1;136;673,bluetooth speaker|record player with speakers|preamplifier,100;75;50,3,"bluetooth speaker(id1,100%,title) | record player with speakers(id136,75%,body) | preamplifier(id673,50%,title)"
B09NYLQD9X,Lenco LS-440BUBG - platenspeler met luidspreker - platenspeler,355;122,rca cable|record player,100;80,2,"rca cable(id355,100%,body) | record player(id122,80%,title)"
B09P8R5MN6,Lenco LS-50LEDBK - Plattenspieler - Schallplattenspieler - Vinyl Player,136;4,record player with speakers|pc speakers,100;57,2,"record player with speakers(id136,100%,body) | pc speakers(id4,57%,body)"
B09P8TZ7KW,"Lenco LS-50 - Draaitafel met Luidspreker - USB - Riemaandrijving - Voorversterker - 33, 45 en 78 rpm - Auto-Stop - Vinyl naar MP3 - Roze",673;122,preamplifier|record player,100;50,2,"preamplifier(id673,100%,title) | record player(id122,50%,body)"
B09P8VLN4M,"Lenco LS-50 - Draaitafel met Luidspreker - USB - Riemaandrijving - Voorversterker - 33, 45 en 78 rpm - Auto-Stop - Vinyl naar MP3 - Turquoise",673;122,preamplifier|record player,100;50,2,"preamplifier(id673,100%,title) | record player(id122,50%,body)"
B09PG9W9VQ,Lenco MCW-011BK,318;219,wireless microphone|aa batteries,100;71,2,"wireless microphone(id318,100%,body) | aa batteries(id219,71%,body)"
B09PGJ9X7B,"Lenco MCW-020 Kabelloses Mikrofon Set - Funkmikrofone mit Empfänger - 6,5mm Stecker - integrierter Akku mit 2000nAH - bis zu 15 Meter Reichweite - 863,5 MHz - Schwarz MCW-020BK",219;313;318,aa batteries|microphone|wireless microphone,100;80;80,3,"aa batteries(id219,100%,body) | microphone(id313,80%,title) | wireless microphone(id318,80%,body)"
B09PLMKYXN,"Lenco altavoz Party speaker Bluetooth pa-200 con animación de luz, negro",5;20;1;679;116,party speaker|speaker with light effects|bluetooth speaker|PA speaker|construction radio,100;100;80;80;60,5,"party speaker(id5,100%,title) | speaker with light effects(id20,100%,body) | bluetooth speaker(id1,80%,title) | PA speaker(id679,80%,title) | construction radio(id116,60%,body)"
B09PYLW41D,"Gastronoma 18290002 Friggitrice ad aria calda, 6 litri, XXL, in acciaio inox, con display digitale a LED, 8 programmi, friggitrice ad aria calda da 1800 Watt, senza olio, friggitrice ad aria, in",42,airfryer,100,1,"airfryer(id42,100%,title)"
B09Q3MKH7Q,Lenco PA-220BK Compact 120W Column Speaker System,20;679;480;5;18;261;324;538;254;318,speaker with light effects|PA speaker|network adapter|party speaker|speaker stand|network cable|microphone stand|speaker cable|usb stick|wireless microphone,100;80;70;60;60;60;60;60;50;50,10,"speaker with light effects(id20,100%,body) | PA speaker(id679,80%,title) | network adapter(id480,70%,body) | party speaker(id5,60%,body) | speaker stand(id18,60%,body) | network cable(id261,60%,body) | microphone stand(id324,60%,body) | speaker cable(id538,60%,body) | usb stick(id254,50%,body) | wireless microphone(id318,50%,body)"
B09QCY871W,Fysic FC35 - Limpiador ultrasónico + luz UV,75,ultrasonic cleaner,100,1,"ultrasonic cleaner(id75,100%,title)"
B09QCZ7J9S,Fysic FC-18 - compacte ultrasone reiniger - grijs/wit,,,,0,
B09QKTXNPT,"Gastronoma 18260001 Broodbakmachine, broodbakmachine, 12 digitale programma's, automatisch ingrediëntenvak, voor 1350 gram brood, kijkvenster, timer van 13 uur, 60 minuten warmhoudfunctie",616,bread maker,100,1,"bread maker(id616,100%,title)"
B09QT8SKBF,"Lenco DIR-141BK Radio Portable Internet Noir, Argent",102;129,portable radio|internet radio,100;80,2,"portable radio(id102,100%,title) | internet radio(id129,80%,title)"
B09QT9CCF9,Lenco PDR-065 Black,127,radio,100,1,"radio(id127,100%,body)"
B09QTQ3HDF,Lenco DIR-141 Bois,129;128,internet radio|dab+ radio,100;80,2,"internet radio(id129,100%,body) | dab+ radio(id128,80%,body)"
B09QTT28Z5,Lenco PDR-011BK DAB+/FM-zakradio met MP3-speler,103;111,mp3 player|portable dab+ radio,100;60,2,"mp3 player(id103,100%,title) | portable dab+ radio(id111,60%,body)"
B09QTV5SVQ,"Lenco PDR-051 Draagbare DAB+ retro radio, PLL FM-radio met bluetooth, geïntegreerde accu, 1800 mAh, klok en timer, 5 Watt RMS, afstandsbediening, roze",102;128,portable radio|dab+ radio,100;100,2,"portable radio(id102,100%,title) | dab+ radio(id128,100%,title)"
B09QTVDW7Q,Lenco PDR-065 tragbares DAB+ Radio - Bluetooth - FM Radio - einfacher und normaler Modus - Dockingstation zum Laden - Uhr und Weckfunktion - Akku - weiß/grau,111;117,portable dab+ radio|mp3 player with bluetooth,100;57,2,"portable dab+ radio(id111,100%,title) | mp3 player with bluetooth(id117,57%,body)"
B09QV2XPYN,"Lenco PDR-051 Draagbare DAB+ retro radio, PLL FM-radio met bluetooth, geïntegreerde accu, 1800 mAh, klok en timer, 5 Watt RMS, afstandsbediening, taupe",102;128,portable radio|dab+ radio,100;100,2,"portable radio(id102,100%,title) | dab+ radio(id128,100%,title)"
B09QXLY9NQ,"Gastronoma 18210002 Draadloze accu-staafmixerset, 3-in-1 hakmolen, garde, pureerstaaf, perfect voor het draadloos mixen van sauzen en soepen, snel en efficiënt, roestvrij staal, zwart",,,,0,
B09RG1XJV8,Lenco L-3818BK - Plattenspieler - Schallplattenspieler - Vinyl Player,122;4;123,record player|pc speakers|stereo system,100;80;80,3,"record player(id122,100%,body) | pc speakers(id4,80%,body) | stereo system(id123,80%,body)"
B09RKTP786,Alecto DVC126IP Caméra IP Wi-Fi – Caméra de surveillance intérieure pivotante – Audio bidirectionnel – Vision nocturne infrarouge – Détecteur de mouvement – Micro SD – LAN – Blanc,153;144;543,motion sensor|ip camera|indoor camera,100;71;57,3,"motion sensor(id153,100%,title) | ip camera(id144,71%,title) | indoor camera(id543,57%,title)"
B09RKVPDY9,Alecto DVC-155+ WLAN-Innencamera (black),,,,0,
B09RLX3QFT,Alecto DVC266IP - Cámara WiFi Exterior controlable a Distancia - Negra,608;153;261;404;480;542;273,smart water sensor|motion sensor|network cable|night light|network adapter|smart outdoor lighting|sd card,100;88;75;75;75;75;62,7,"smart water sensor(id608,100%,body) | motion sensor(id153,88%,body) | network cable(id261,75%,body) | night light(id404,75%,body) | network adapter(id480,75%,body) | smart outdoor lighting(id542,75%,body) | sd card(id273,62%,body)"
B09RLY7DXV,"Alecto Smarte WLAN-Türklingel avec caméra, Noir",338;145;336;339,doorbell with camera|smart plug|doorbell|ring doorbell,100;67;67;67,4,"doorbell with camera(id338,100%,body) | smart plug(id145,67%,body) | doorbell(id336,67%,title) | ring doorbell(id339,67%,body)"
B09S11CW7W,Gastronoma 18100003 Cafetière design en acier inoxydable 12 tasses 1050 W Fonction maintien au chaud PTC Élément chauffant,43,coffee maker,100,1,"coffee maker(id43,100%,title)"
B09X1TDVGS,Alecto ADB30 Funk Türklingel - Kabellose kinetische Hausklingel - Batterielos - IP44 Wasserdicht - 36 Melodien - 4 Lautstärkestufen - Erweiterbar auf bis zu 6 Empfänger - Weiß,337,wireless doorbell,100,1,"wireless doorbell(id337,100%,title)"
B09X1TYP52,ADB30ZT,115;337,waterproof radio|wireless doorbell,100;100,2,"waterproof radio(id115,100%,body) | wireless doorbell(id337,100%,body)"
B09X73GMLW,"Lenco BTC-055 BTC-055 Système de karaoké, haut-parleur Bluetooth, effets de lumière, batterie intégrée, entrée USB, lecteur de carte micro SD, microphone, télécommande, noir, BTC-055BK",250;270;314,card reader|micro sd card|usb microphone,100;100;57,3,"card reader(id250,100%,title) | micro sd card(id270,100%,title) | usb microphone(id314,57%,title)"
B09XJ9G6BB,Fysic F25 - Cellulare conchiglia semplice per anziani con tasto SOS - Nero,441;129,senior phone|internet radio,100;67,2,"senior phone(id441,100%,body) | internet radio(id129,67%,body)"
B09XQVDLV1,"Lenco PA-101BK Altavoz Bluetooth Party Speaker – Altavoz Music Box – Caja portátil 100 W RMS, luz de Discoteca, reproducción USB – Negro",1;5;20;10;625;679,bluetooth speaker|party speaker|speaker with light effects|portable speaker|wireless microphone system|PA speaker,100;100;100;80;80;80,6,"bluetooth speaker(id1,100%,title) | party speaker(id5,100%,title) | speaker with light effects(id20,100%,body) | portable speaker(id10,80%,title) | wireless microphone system(id625,80%,body) | PA speaker(id679,80%,title)"
